,symbol,date,expiry,put_option_type,strike,put_open,put_high,put_low,put_close,put_ltp,put_settle_price,put_no_of_contracts,put_turnover_in_lacs_option,put_premium_turnover_in_lacs,put_open_interest,put_change_in_oi,call_option_type,call_open,call_high,call_low,call_close,call_ltp,call_settle_price,call_no_of_contracts,call_turnover_in_lacs_option,call_premium_turnover_in_lacs,call_open_interest,call_change_in_oi,forward_open,forward_close,open_ul,high_ul,low_ul,close_ul,moneyness_open,moneyness_close,f_minus_k,otm_option_type,open_option,high_option,low_option,close_option,ltp_option,settle_price_option,days_to_expiry,rf_rate,implied_volatility,d1,d2,delta,gamma,theta,vega,rho,vanna,charm,volga
338971,NIFTY,2023-01-05,2023-01-05,PE,16000,0.35,0.5,0.05,0.1,0.05,0.1,83165,9.15,9.15,12782.0,-13557.0,CE,2040.0,2040.0,1915.0,1915.0,1915.0,1915.0,40,39.55,39.55,12.0,-28.0,18075.65,17991.45,18101.95,18120.3,17892.6,17992.15,0.121977,0.117308,1991.4500000000007,PE,0.35,0.5,0.05,0.1,0.05,0.1,0,0.0,0.0,inf,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
338972,NIFTY,2023-01-05,2023-01-05,PE,16200,0.3,0.45,0.05,0.1,0.05,0.1,16225,2.51,2.51,1805.0,-12182.0,CE,1743.95,1743.95,1743.95,1743.95,1743.95,1743.95,2,1.74,1.74,5.0,-2.0,18075.65,17991.45,18101.95,18120.3,17892.6,17992.15,0.109554,0.104885,1791.4500000000007,PE,0.3,0.45,0.05,0.1,0.05,0.1,0,0.0,0.0,inf,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
338973,NIFTY,2023-01-05,2023-01-05,PE,16500,0.55,0.55,0.05,0.05,0.05,0.05,87702,11.4,11.4,16407.0,-20555.0,CE,1583.55,1583.55,1405.0,1444.5,1444.5,1444.5,69,51.64,51.64,45.0,-21.0,18075.65,17991.45,18101.95,18120.3,17892.6,17992.15,0.091205,0.086536,1491.4500000000007,PE,0.55,0.55,0.05,0.05,0.05,0.05,0,0.0,0.0,inf,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
338974,NIFTY,2023-01-05,2023-01-05,PE,16900,0.45,0.6,0.05,0.1,0.05,0.1,59956,8.99,8.99,4545.0,-3569.0,CE,1090.0,1100.0,1020.0,1100.0,1100.0,1100.0,21,10.94,10.94,21.0,-1.0,18075.65,17991.45,18101.95,18120.3,17892.6,17992.15,0.067252,0.062583,1091.4500000000007,PE,0.45,0.6,0.05,0.1,0.05,0.1,0,0.0,0.0,inf,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
338975,NIFTY,2023-01-05,2023-01-05,PE,17000,0.4,0.6,0.05,0.1,0.05,0.1,207650,34.26,34.26,22486.0,-21980.0,CE,1065.0,1119.65,899.4,986.8,994.15,986.8,2263,1150.98,1150.98,1282.0,-946.0,18075.65,17991.45,18101.95,18120.3,17892.6,17992.15,0.061352,0.056683,991.4500000000008,PE,0.4,0.6,0.05,0.1,0.05,0.1,0,0.0,0.0,inf,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
338976,NIFTY,2023-01-05,2023-01-05,PE,17100,0.5,0.65,0.05,0.1,0.05,0.1,73945,12.94,12.94,4587.0,-4166.0,CE,1002.8,1002.8,832.15,896.95,903.45,896.95,53,23.79,23.79,63.0,-7.0,18075.65,17991.45,18101.95,18120.3,17892.6,17992.15,0.055487,0.050818,891.4500000000007,PE,0.5,0.65,0.05,0.1,0.05,0.1,0,0.0,0.0,inf,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
338977,NIFTY,2023-01-05,2023-01-05,PE,17150,0.55,0.75,0.05,0.05,0.05,0.05,28544,5.28,5.28,2415.0,44.0,CE,829.45,850.9,785.15,838.3,850.9,838.3,24,9.92,9.92,12.0,12.0,18075.65,17991.45,18101.95,18120.3,17892.6,17992.15,0.052568,0.047898,841.4500000000007,PE,0.55,0.75,0.05,0.05,0.05,0.05,0,0.0,0.0,inf,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
338978,NIFTY,2023-01-05,2023-01-05,PE,17200,0.5,0.7,0.05,0.1,0.05,0.1,84745,15.25,15.25,9844.0,-4590.0,CE,890.0,890.0,713.0,753.0,753.0,753.0,38,14.99,14.99,30.0,-1.0,18075.65,17991.45,18101.95,18120.3,17892.6,17992.15,0.049656,0.044987,791.4500000000007,PE,0.5,0.7,0.05,0.1,0.05,0.1,0,0.0,0.0,inf,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
338979,NIFTY,2023-01-05,2023-01-05,PE,17300,0.6,0.65,0.05,0.05,0.05,0.05,118918,22.59,22.59,22357.0,-7915.0,CE,766.0,795.0,597.25,691.95,693.05,691.95,39,13.62,13.62,75.0,-5.0,18075.65,17991.45,18101.95,18120.3,17892.6,17992.15,0.043859,0.03919,691.4500000000007,PE,0.6,0.65,0.05,0.05,0.05,0.05,0,0.0,0.0,inf,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
338980,NIFTY,2023-01-05,2023-01-05,PE,17350,0.6,0.8,0.05,0.1,0.1,0.1,63974,14.71,14.71,2948.0,-2235.0,CE,600.0,647.75,578.1,637.75,643.35,637.75,44,13.73,13.73,22.0,12.0,18075.65,17991.45,18101.95,18120.3,17892.6,17992.15,0.040973,0.036304,641.4500000000007,PE,0.6,0.8,0.05,0.1,0.1,0.1,0,0.0,0.0,inf,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
